,loss,DSC,SEN,PPV,val_loss,val_DSC,val_SEN,val_PPV
0,0.8364767221113046,0.17408681544475257,0.19376582299203923,0.21257534138082215,0.7847344775994619,0.2195420004427433,0.2415689111997684,0.24547059647738934
1,0.6824120705326399,0.33584338923295337,0.3403025596247365,0.3477703770622611,0.6698182386656603,0.3379845426728328,0.35364939272403717,0.37533079584439594
2,0.5753230042755604,0.4361465444477896,0.4411821919493377,0.44189248513430357,0.5365437728663286,0.4683295066157977,0.4837448497613271,0.4881251206000646
3,0.48497610570242006,0.5232075933987895,0.5273671541363001,0.5286389685546359,0.43013271192709607,0.5744962207973003,0.5859574377536774,0.5861272638042768
4,0.37513416409492495,0.6322532206773758,0.6369602635502816,0.6341780036687851,0.4170222103595734,0.5853293150663376,0.5966085776686668,0.5999575391411781
5,0.2970024963840842,0.7094755377620459,0.7149277951568365,0.7096769116818905,0.29176182076334956,0.7117045551538468,0.7187830716371536,0.7278620541095734
6,0.25504385903477667,0.7503863528370858,0.7561678469181061,0.7509282439947128,0.3354972556233406,0.667108902335167,0.677138939499855,0.6898679524660111
7,0.2158360317349434,0.7889158889651299,0.7947305262088775,0.7881143763661385,0.27163869291543963,0.73090600669384,0.7422360211610795,0.7356778085231781
8,0.1843902721069753,0.819829823076725,0.8254067383706569,0.8185613706707955,0.30277320817112924,0.6988552659749985,0.7054577052593232,0.7135994404554367
9,0.17559652021154762,0.8281602919101715,0.8337214879691601,0.8271132588386536,0.1948810201138258,0.8073226809501648,0.8098358988761902,0.8175841927528381
10,0.156763572152704,0.8465716406702996,0.8519139148294925,0.8446397677063942,0.1846590679138899,0.8169215321540833,0.8239371359348298,0.8226924121379853
11,0.11827686568722129,0.884757400304079,0.8898411370813847,0.8820748060941697,0.1589719470590353,0.8423985093832016,0.850244402885437,0.8452634811401367
12,0.11923648295924068,0.883648582547903,0.8883854143321515,0.8815515883266926,0.19999057948589324,0.8014221876859665,0.8090713441371917,0.8136380672454834
13,0.11655562929809093,0.8862115360796452,0.8910670600831508,0.883596769720316,0.1826070960611105,0.8185330867767334,0.8281070351600647,0.822408127784729
14,0.08980426001362503,0.9126191191375256,0.9176453530788422,0.9093743994832039,0.1503334330394864,0.8509818881750106,0.8571410357952118,0.8514429479837418
15,0.08199077621102333,0.9202303759753704,0.9252061121165752,0.9167562797665596,0.1541719812899828,0.8469276666641236,0.8557044714689255,0.848303496837616
16,0.08635439011268317,0.9156987898051738,0.9206708312034607,0.9124797329306602,0.1657732617110014,0.8353011816740036,0.8457027733325958,0.8327082008123398
17,0.0773215252906084,0.9247034572064876,0.9290408983826637,0.9216232463717461,0.1175505207851529,0.8832962036132812,0.8908749848604203,0.8828292280435562
18,0.06374859637580813,0.9380210764706135,0.9426681220531463,0.9343550376594066,0.1485630175098777,0.852993267774582,0.8457058548927308,0.8758564740419388
19,0.0672637077048421,0.9344584681093693,0.9389841996133328,0.931155326962471,0.1453728973865509,0.8557481110095978,0.8615231722593307,0.8584446609020233
20,0.07002059207297862,0.9316895328462124,0.9358285896480083,0.9286557495594024,0.1396563347429037,0.8613295823335647,0.8677551209926605,0.8612880021333694
21,0.06003891089931131,0.9414775110781193,0.9457637794315815,0.9381680719554424,0.13948968183249236,0.8613218277692795,0.8678473830223083,0.8642440289258957
22,0.05516311870887876,0.9462417148053646,0.9501863181591034,0.943100868165493,0.15194881558418274,0.8489494889974594,0.8574503123760223,0.849469992518425
23,0.050175214745104314,0.9511311531066895,0.9552026078104973,0.9477569296956062,0.08385368417948484,0.9168333142995835,0.9257942140102386,0.9121173858642578
24,0.048492548242211345,0.9527414806187153,0.9568651773035526,0.9493459932506084,0.12263222504407167,0.8780953079462052,0.8872209966182709,0.8743628621101379
25,0.046757803205400704,0.9544201701879501,0.9584352314472199,0.9510179296135902,0.08368288446217775,0.9170126676559448,0.9275557905435562,0.9104341745376587
